                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Tanggal Surat,No Surat Keluar,Ditujukan Kepada,Perihal,Catatan
19,04 Mei 2024,17/JaRI-Sekr/B/V/2024,"Peserta webinar : Bedah Buku ""Merdeka dari kekerasam""",E-sertifikat untuk peserta,
20,04 Mei 2024,18/JaRI-Sekr/B/V/2024,"Pembicara webinar : bedah buku ""Merdeka dari Kekerasan""",E-sertifikat untuk pembicara,
21,04 Mei 2024,19/JaRI-Sekr/B/V/2024,"Penanggap webinar bedah buku ""Merdeka dari Kekerasan""",E-sertifikat untuk penanggap,
22,04 Mei 2024,20//JaRI-Sekr/B/V/2024,"Penanggap webinar bedah buku ""Merdeka dari Kekerasan""",E-sertifikat untuk panitia,
23,13 Mei 2024,21/JaRI-Sekr/B/V/2024,Ibu Marjoire Ruth Suanda,Ucapan Terima Kasih,
24,17 Mei 2024,22/JaRI-Sekr/B/V/2024,Ibu Yani Panigoro,,
25,27 Mei 2024,23/JaRI-Sekr/B/V/2024,"Bapak Bey Mahmudin Pejabat Gubernur Jawa Barat
",Permohonan Audiensi,
26,3 Juni 2024,24/JaRI-Sekr/B/VI/2024,Grab,Surat keterangan telah melakukan konseling,
,,,,,
27,1 Juni 2024,25/JaRI-Sekr/B/VI/2024,Sekretariat JaRI, Panduan Pemusnahan Data Digital,
28,1Juni 2024,26/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,Daftar Inventaris HP,
29,1Juni 2024,27/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,Laporan Pemusnahan,
30,18 Juni 2024,28/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,Berita Acara Pemusnahan,
31,18 Juni 2024,29/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,Berita Acara  Serahterima,
32,19 Juni 2024,30/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,SOP,
33,19 Juni 2024,31/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,SOP,
34,19 Juni 2024,32/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,SOP,
35,19 Juni 2024,33/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,SOP,
36,19 Juni 2024,34/JaRI-Sekr/B/VI/2024,Sekretariat JaRI,SOP,
37,20 Juni 2024,35/JaRI-Sekr/B/VI/2024,Ibu Yani Panigoro,Invoice bulan Juni,
38,24 Juni 2024,36/JaRI-Sekr/B/VI/2024,DR Karmelita.S,Ucapan  Terima Kasih atas donasi,
39,24 Juni 2024,37/JaRI-Sekr/B/VI/2024,DR Hadiawati,Ucapan  Terima Kasih atas donasi,
40,24 Juni 2024,38/JaRI-Sekr/B/VI/2024,Ibu Wien Ritola,Ucapan  Terima Kasih atas donasi,
41,25 Juni 2024,39/JaRI-Sekr/B/VI/2024,Fitri Andriani,Surat Keterangan sebagai Volunteer di Yayasan JaRI,
42,25 Juni 2024,40/JaRI-Sekr/B/VI/2024,"Prof. Hikmahanto Juwana SH, LLM, PhD",Permohonan menjadi Narasumber pada acara Talkshow tema: “Perjuangan Palestina dan tragedi kemanusiaan”,
43,01 Juli 2024,41/JaRI-Sekr/B/VII/2024,"Bapak Bey Mahmudin, Pejabat Gubernur Jabar","Permohonan audiensi ""sekretariat untuk JaRI""",
44,03 Juli 2024,42/JaRI-Sekr/B/VII/2024,"Bapak Mohamad Arifin Purwakananta
Direktur Utama Baznas RI
","Permohonan audiensi ""sekretariat untuk JaRI""",
45,03 Juli 2024,43/SPK-JaRI-Sekr/B/VII/2024,Kasih Turniwati,SPK tim JaRI,
46,03 Juli 2024,44/SPK-JaRI-Sekr/B/VII/2024,Teguh Budi Satriyo,SPK tim JaRI,
47,03 Juli 2024,45/SPK-JaRI-Sekr/B/VII/2024,Henokhvita Hagiographa,SPK tim JaRI,
48,03 Juli 2024,46/SPK-JaRI-Sekr/B/VII/2024,Rhena Indria Haryono,SPK tim JaRI,
49,03 Juli 2024,47/SPK-JaRI-Sekr/B/VII/2024,Sari Puspasari,SPK tim JaRI,
50,17 Juli2024,48/JaRI-Sekr/B/VII/2024,Ibu Yani Panigoro,,
51,30 Juli 2024,49/JaRI-Sekr/B/VII/2024,"Ketua Satuan Tugas TPKS 
Institut Teknologi Bandung
",Permohonan data awal mahasiswi yang dirujuk oleh Satgas TPKS ITB,
52,01 Agustus 2024,50/ST01-JaRI-Sekr/B/VIII/2024,Kasih Turniwati ,"Surat Tugas menghadiri und ""Sosialisasi Profil Lembaga Masyarakat Bidang PHP",
53,,50/ST02-JaRI-Sekr/B/VIII/2024,.....................,"Surat Tugas menghadiri und ""Sosialisasi Profil Lembaga Masyarakat Bidang PHP",
54,07 Agustus 2024,51/JaRI-Sekr/B/VIII/2024,Kepala sekolah SD Santa Melania,Persetujuan menjadi narasumber ,
55,08 Agustus 2024,52/JaRI-Sekr/B/VIII/2024,DP3AKB,Pinjam ruangan untuk konseling,
56,08 Agustus 2024,53/JaRI-Sekr/B/VIII/2024,KEBIJAKAN KEAMANAN DATA DAN INFORMASI,,
57,08 Agustus 2024,54/JaRI-Sekr/B/VIII/2024,PERLINDUNGAN DATA PRIBADI DIGITAL KLIEN,,
58,08 Agustus 2024,55/JaRI-Sekr/B/VIII/2024,PERLINDUNGAN DATA HARDCOPY PRIBADI KLIEN,,
59,08 Agustus 2024,56/JaRI-Sekr/B/VIII/2024,KEBIJAKAN DAN PROSEDUR PERLINDUNGAN INFORMASI IDENTITAS PRIBADI,,
60,08 Agustus 2024,57/JaRI-Sekr/B/VIII/2024,KEBIJAKAN DAN PROSEDUR PENGGUNAAN PC SEKRETARIAT,,
61,08 Agustus 2024,58/JaRI-Sekr/B/VIII/2024,KEBIJAKAN DAN PROSEDUR PENGGUNAAN PERANGKAT SELULER HOTLINE,,
62,08 Agustus 2024,59/JaRI-Sekr/B/VIII/2024,"KEBIJAKAN DAN PROSEDUR SISTEM MANAJEMEN KATA SANDI",,
63,08 Agustus 2024,60/JaRI-Sekr/B/VIII/2024,BACKUP DATA PRIBADI DI PC SEKRETARIAT DAN HANDPHONE HOTLINE,,
64,08 Agustus 2024,61/JaRI-Sekr/B/VIII/2024,CHECKLIST KEBIJAKAN SISTEM MANAJEMEN KATA SANDI,,
65,08 Agustus 2024,62/JaRI-Sekr/B/VIII/2024,Kebijakan ,,
66,20 Agustus 2024,63/JaRI-Sekr/B/VIII/2024,Ibu Yani Panigoro,Invoice bulan Agustus 2024,
67,11 September 24,64/JaRI-Sekr/B/IX/2024,Ketua  UPTD PPA Kota Bandung,Rujukan  an Marsha,
68,23 September 24,65/JaRI-Sekr/B/IX/2024,Ibu Yani Panigoro,Invoice bulan September 2024,
69,09 Oktober 2024,66/JaRI-Sekr/B/X/2024,Bapak/Ibu ..............,"Undangan sebagai pembicara ""workshop anti bullying di SD Santa Melania""",
70,09 Oktober 2024,67/JaRI-Sekr/B/X/2024,Bapak/Ibu ..............,"Undangan sebagai fasilitator ""workshop anti bullying di SD Santa Melania""",
71,17 Oktober 2024,68/JaRI-Sekr/B/X/2024,Ibu Yani Panigoro,Invoice bulan Oktober 2024,
72,22 Oktober 2024,69/JaRI-Sekr/B/X/2024,,Permintaan rekomendasi,
73,22 Oktober 2024,70/JaRI-Sekr/B/X/2024,,Permintaan rekomendasi,
74,22 Oktober 2024,71/JaRI-Sekr/B/X/2024,,Permintaan rekomendasi,
75,22 Oktober 2024,72/JaRI-Sekr/B/X/2024,,Penyampaian minat proposal,
76,25 Oktober 2024,73/JaRI-Sekr/B/X/2024,Brainspotting Indonesia ,"Partisipasi Narasumber ""Ibu Marisa""",
77,15 November 2024,74/JaRI-Sekr/B/XI/2024,Ibu Yenny Wahid,Ucapan Terima kasih,
78,20 November 2024,75/JaRI-Sekr/B/XI/2024,Ibu Yani Panigoro,Invoice bulan November 2024,
79,18 Desember 2024,76/JaRI-Sekr/B/XII/2024,Ibu Yani Panigoro,Invoice bulan Desember 2024,
80,18 Desember 2024,77/JaRI-Sekr/B/XII/2024,"Bapak/Ibu/Sdr/i Pembina,Pengurus dan Relawan JaRI",Undangan pembahasan penyelesaian laporan tahunan 2023-2024,
